name,address,symbol,chain,slug,gecko_id,category,tvl,id_collection,update_date
Alpaca Perpetual Futures Exchange,binance-smart-chain:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,Binance,alpaca-perpetual-futures-exchange,alpaca-finance,Derivatives,3066705.8133038534,Manually,2023-09-09
Stella,arbitrum:0xc9cbf102c73fb77ec14f8b4c8bd88e050a6b2646,ALPHA,Arbitrum,stella,alpha-finance,Leveraged Farming,1214334.8343229422,Manually,2023-09-09
Homora V2,ethereum:0xa1faa113cbe53436df28ff0aee54275c13b40975,ALPHA,Multi-Chain,homora-v2,alpha-finance,Yield,51115290.66081419,Automatically,2023-09-09
Alongside,ethereum:0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d,AMKT,Ethereum,alongside,alongside-crypto-market-index,Indexes,2416765.956695215,Automatically,2023-09-09
Flexa,ethereum:0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,Ethereum,flexa,amp-token,Payments,39885984.38647211,Automatically,2023-09-09
Angle,ethereum:0x31429d1856aD1377A8A0079410B297e1a9e214c2,ANGLE,Multi-Chain,angle,angle-protocol,CDP,26603383.273414116,Automatically,2023-09-09
Ankr,ethereum:0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ANKR,Multi-Chain,ankr,ankr,Liquid Staking,61739079.662623264,Automatically,2023-09-09
Annex,bsc:0x98936Bde1CF1BFf1e7a8012Cee5e2583851f2067,ANN,Multi-Chain,annex,,Lending,1017699.2888074768,Manually,2023-09-09
ApeX Protocol,ethereum:0x52a8845df664d76c69d2eea607cd793565af42b8,APEX,Multi-Chain,apex-protocol,apex-token-2,Derivatives,34125770.04617828,Automatically,2023-09-09
ApolloDAO,,APOLLO,Multi-Chain,apollodao,,Yield,1290668.7476891433,Manually,2023-09-09
Apricot Finance,solana:APTtJyaRX5yGTsJU522N4VYWg3vCvSb65eam5GrPT5Rt,APT,Solana,apricot-finance,apricot,Lending,1318705.8713602556,Automatically,2023-09-09
ApolloX,binance-smart-chain:0x78F5d389F5CDCcFc41594aBaB4B0Ed02F31398b3,APX,Multi-Chain,apollox,apollox-2,Derivatives,43507738.26993517,Automatically,2023-09-09
Planet Farm,binance-smart-chain:0x72b7d61e8fc8cf971960dd9cfa59b8c829d91991,AQUA,Binance,planet-farm,planet-finance,Yield,1158861.136175986,Manually,2023-09-09
Arbi's Finance,arbitrum:0x9f20de1fc9b161b34089cbeae888168b44b03461,ARBIS,Arbitrum,arbis-finance,,Yield,1397998.2010053066,Manually,2023-09-09
Arbswap AMM,arbitrum:0xf50874f8246776CA4B89eEF471E718F70f38458F,ARBS,Multi-Chain,arbswap-amm,arbswap,Dexes,1525571.6239725351,Manually,2023-09-09
Archimedes Finance,ethereum:0x73C69d24ad28e2d43D03CBf35F79fE26EBDE1011,ARCH,Ethereum,archimedes-finance,archimedes,Leveraged Farming,1906513.566545077,Automatically,2023-09-09
Archi Finance,arbitrum:0x93d504070ab0eede5449c89c5ea0f5e34d8103f8,ARCHI,Arbitrum,archi-finance,archi-token,Leveraged Farming,6508904.834917337,Automatically,2023-09-09
ArthSwap,astar:0xde2578edec4669ba7f41c5d5d2386300bcea4678,ARSW,Astar,arthswap,arthswap,Dexes,14655609.422730776,Automatically,2023-09-09
Ashswap,elrond:ASH-a642d1,ASH,Elrond,ashswap,ashswap,Dexes,3861619.050213079,Automatically,2023-09-09
Astroport,terra:terra1nsuqsk6kh58ulczatwev87ttq2z6r3pusulg9r24mfj2fvtzd4uq3exn26,ASTRO,Multi-Chain,astroport,astroport-fi,Dexes,29281523.320904423,Automatically,2023-09-09
Asymetrix Protocol,ethereum:0x67d85A291fcDC862A78812a3C26d55e28FFB2701,ASX,Ethereum,asymetrix-protocol,asymetrix,Yield,16682494.517822511,Manually,2023-09-09
Antfarm finance,ethereum:0x518b63Da813D46556FEa041A88b52e3CAa8C16a8,ATF,Multi-Chain,antfarm-finance,antfarm-governance-token,Liquidity manager,1006046.5900192716,Automatically,2023-09-09
Athena Finance,metis:0xA4eE142e34d0676Edc2b760DD0016003D99a4ceC,ATH,Metis,athena-finance,athena-finance,Yield,1539796.4418922148,Automatically,2023-09-09
AstridDAO,astar:0x5271D85CE4241b310C0B34b7C2f1f036686A6d7C,ATID,Astar,astriddao,astriddao-token,CDP,4593304.193354882,Automatically,2023-09-09
Aura,ethereum:0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,AURA,Multi-Chain,aura,aura-finance,Yield,298092528.520092,Automatically,2023-09-09
Aurora Plus,aurora:0x8bec47865ade3b172a928df8f990bc7f2a3b9f79,AURORA,Aurora,aurora-plus,aurora-near,Services,4284573.220047922,Automatically,2023-09-09
Autofarm,binance-smart-chain:0xa184088a740c695e156f91f5cc086a06bb78b827,AUTO,Multi-Chain,autofarm,auto,Yield Aggregator,8824107.679967385,Automatically,2023-09-09
Avalanche,avalanche:0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,Avalanche,,avalanche-2,Other,,Manually,2023-09-09
Axial,avalanche:0xcF8419A615c57511807236751c0AF38Db4ba3351,AXIAL,Avalanche,axial,axial-token,Dexes,2211077.147803556,Automatically,2023-09-09
Axelar,ethereum:0x467719ad09025fcc6cf6f8311755809d45a5e5f3,AXL,Multi-Chain,axelar,axelar,Bridge,93618997.67492253,Automatically,2023-09-09
BabySwap,binance-smart-chain:0x53e562b9b7e5e94b81f10e96ee70ad06df3d2657,BABY,Binance,babyswap,babyswap,Dexes,2495288.086243388,Automatically,2023-09-09
Back Finance,heco:0x6474bc11f512dfe6a5162b2167e3f94b61471d05,BACK,Heco,back-finance,,Yield,5579517.818832318,Manually,2023-09-09
Badger DAO,ethereum:0x3472A5A71965499acd81997a54BBA8D852C6E53d,BADGER,Multi-Chain,badger-dao,badger-dao,Yield Aggregator,22136880.85,Automatically,2023-09-09
BakerySwap,binance-smart-chain:0xe02df9e3e622debdd69fb838bb799e3f168902c5,BAKE,Binance,bakeryswap,bakerytoken,Dexes,3783561.93217022,Automatically,2023-09-09
Balancer V1,ethereum:0xba100000625a3754423978a60c9317c58a424e3d,BAL,Ethereum,balancer-v1,balancer,Dexes,87591532.81168638,Manually,2023-09-09
Balancer V2,ethereum:0xba100000625a3754423978a60c9317c58a424e3d,BAL,Multi-Chain,balancer-v2,balancer,Dexes,603189068.1837755,Manually,2023-09-09
Balanced,icon:cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,BALN,Icon,balanced,balance-tokens,Dexes,2974763.0263693854,Automatically,2023-09-09
ApeSwap AMM,binance-smart-chain:0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,BANANA,Multi-Chain,apeswap-amm,apeswap-finance,Dexes,12354497.793082513,Manually,2023-09-09
ApeSwap Lending,binance-smart-chain:0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,BANANA,Binance,apeswap-lending,apeswap-finance,Lending,3777716.696724976,Manually,2023-09-09
Bao Masterchef V1,ethereum:0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,BAO,Multi-Chain,bao-masterchef-v1,bao-finance,Farm,1289860.7012821224,Automatically,2023-09-09
SwapBased AMM,base:0xd07379a755A8f11B57610154861D694b2A0f615a,BASE,Base,swapbased-amm,base,Dexes,12021914.286712296,Manually,2023-09-09
Baklava Space,avalanche:0xe19A1684873faB5Fb694CfD06607100A632fF21c,BAVA,Multi-Chain,baklava-space,baklava,Yield,2208647.612278911,Automatically,2023-09-09
Beethoven X,fantom:0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,BEETS,Multi-Chain,beethoven-x,beethoven-x,Dexes,18105650.083998784,Automatically,2023-09-09
Bella Protocol,ethereum:0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14,BEL,Multi-Chain,bella-protocol,bella-protocol,Yield,11921242.747876136,Automatically,2023-09-09
Belt Finance,binance-smart-chain:0xe0e514c71282b6f4e823703a39374cf58dc3ea4f,BELT,Multi-Chain,belt-finance,belt,Yield,11041632.964366203,Automatically,2023-09-09
BendDAO Lending,ethereum:0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,Ethereum,benddao-lending,benddao,NFT Lending,46499406.72928449,Manually,2023-09-09
BendDAO APE Staking,ethereum:0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,Ethereum,benddao-ape-staking,benddao,Yield,25202214.2733452,Manually,2023-09-09
Beta Finance,ethereum:0xbe1a001fe942f96eea22ba08783140b9dcc09d28,BETA,Multi-Chain,beta-finance,beta-finance,Lending,1423804.2698661694,Automatically,2023-09-09
Bearn,bsc:0x81859801b01764d4f0fa5e64729f5a6c3b91435b,BFI,Binance,bearn,,Yield,1135154.2375675594,Manually,2023-09-09
Buffer Finance,arbitrum:0x1A5B0aaF478bf1FDA7b934c76E7692D722982a6D,BFR,Multi-Chain,buffer-finance,ibuffer-token,Options,1201497.6752887117,Automatically,2023-09-09
Beefy,binance-smart-chain:0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,Multi-Chain,beefy,beefy-finance,Yield Aggregator,184763953.78746676,Automatically,2023-09-09
Bolide,binance-smart-chain:0x766AFcf83Fd5eaf884B3d529b432CA27A6d84617,BLID,Multi-Chain,bolide,bolide,Yield Aggregator,3673545.4199730656,Automatically,2023-09-09
Blur Lending,ethereum:0x5283d291dbcf85356a21ba090e6db59121208b44,BLUR,Ethereum,blur-lending,blur,NFT Lending,22984702.67392271,Manually,2023-09-09
Blur Bids,ethereum:0x5283d291dbcf85356a21ba090e6db59121208b44,BLUR,Ethereum,blur-bids,blur,NFT Marketplace,70422397.09045057,Automatically,2023-09-09
BNB,binance-smart-chain:0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,BNB,Binance,,binancecoin,Other,,Manually,2023-09-09
Bifrost Liquid Staking,polkadot:-,BNC,Multi-Chain,bifrost-liquid-staking,bifrost-native-coin,Liquid Staking,19661052.06498397,Automatically,2023-09-09
Bifrost Dex,polkadot:-,BNC,Bifrost,bifrost-dex,bifrost-native-coin,Dexes,2398641.693205896,Manually,2023-09-09
Bancor V2.1,ethereum:0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,Ethereum,bancor-v2.1,bancor,Dexes,18758727.075340368,Manually,2023-09-09
Bancor V3,ethereum:0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,Ethereum,bancor-v3,bancor,Dexes,43556152.97793741,Manually,2023-09-09
ShibaSwap,ethereum:0x9813037ee2218799597d83d4a5b6f3b6778218d9,BONE,Ethereum,shibaswap,bone-shibaswap,Dexes,21481105.217792783,Automatically,2023-09-09
SpookySwap,fantom:0x841fad6eae12c286d1fd18d1d525dffa75c7effe,BOO,Fantom,spookyswap,spookyswap,Dexes,14890184.733409522,Automatically,2023-09-09
BoringDAO,ethereum:0xbc19712feb3a26080ebf6f2f7849b417fdd792ca,BORING,Multi-Chain,boringdao,boringdao,Cross Chain,2479261.630373852,Automatically,2023-09-09
Bwatch,ethereum:0x045414e728067ab3da4bceafc0d992d59183463a,BOX,Mixin,bwatch,,Indexes,257523779.59,None,2023-09-09
DefiBox,binance-smart-chain:0x708c0e1d2417603d9acb0ae04fefbb93a7a322ff,BOX,Multi-Chain,defibox,defibox,Dexes,17553386.286210492,Automatically,2023-09-09
B.Protocol,ethereum:0xbbBBBBB5AA847A2003fbC6b5C16DF0Bd1E725f61,BPRO,Multi-Chain,b.protocol,b-protocol,Lending,27402066.91798379,Automatically,2023-09-09
Octus Bridge,everscale:0:f2679d80b682974e065e03bf42bbee285ce7c587eb153b41d761ebfd954c45e1,BRIDGE,Multi-Chain,octus-bridge,octus-bridge,Bridge,27522221.34208595,Automatically,2023-09-09
CrossChain Bridge,0x92868a5255c628da08f550a858a802f5351c5223,BRIDGE,Multi-Chain,crosschain-bridge,,Cross Chain,2955827.5738303573,Manually,2023-09-09
Burrow,near-protocol:token.burrow.near,BRRR,Near,burrow,burrow,Lending,13247263.12264073,Automatically,2023-09-09
Stakehouse,ethereum:0x534D1F5E617e0f72A6b06a04Aa599839AF776A5e,BSN,Ethereum,stakehouse,blockswap-network-2,Liquid Staking,1998198.0963567956,Automatically,2023-09-09
Bastion,aurora:0x9f1F933C660a1DC856F0E0Fe058435879c5CCEf0,BSTN,Aurora,bastion,,Lending,1622360.6215351569,None,2023-09-09
BiSwap V2,binance-smart-chain:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,Binance,biswap-v2,biswap,Dexes,64255997.87299033,Manually,2023-09-09
BiSwap V3,binance-smart-chain:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,Binance,biswap-v3,biswap,Dexes,5397485.356607921,Manually,2023-09-09
BSCSwap,bsc:0xacc234978a5eb941665fd051ca48765610d82584,BSWAP,Binance,bscswap,,Dexes,1658568.8057596933,None,2023-09-09
BaseSwap V2,base:0x78a087d713Be963Bf307b18F2Ff8122EF9A63ae9,BSWAP,Base,baseswap-v2,baseswap,Dexes,12420183.49260375,Automatically,2023-09-09
Pirex,ethereum:0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,Multi-Chain,pirex,redacted,Yield,9265649.014877675,Manually,2023-09-09
Hidden Hand,ethereum:0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,Multi-Chain,hidden-hand,redacted,Services,1679998.9837513184,Manually,2023-09-09
Redacted Protocol,ethereum:0xc55126051B22eBb829D00368f4B12Bde432de5Da,BTRFLY,Ethereum,redacted-protocol,redacted,Yield,4721616.312305257,Automatically,2023-09-09
Bunicorn,binance-smart-chain:0x0e7beec376099429b85639eb3abe7cf22694ed49,BUNI,Binance,bunicorn,bunicorn,Dexes,1383273.616881215,Automatically,2023-09-09
Bunny,binance-smart-chain:0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51,BUNNY,Multi-Chain,bunny,pancake-bunny,Yield,3548012.1344473595,Automatically,2023-09-09
BabyDogeSwap,binance-smart-chain:0xc748673057861a797275CD8A068AbB95A902e8de,BabyDoge,Binance,babydogeswap,baby-doge-coin,Dexes,14335371.10622112,Automatically,2023-09-09
BiFi,ethereum:0x2791BfD60D232150Bff86b39B7146c0eaAA2BA81,BiFi,Multi-Chain,bifi,bifi,Lending,13242765.864532292,Automatically,2023-09-09
PancakeSwap StableSwap,binance-smart-chain:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,Binance,pancakeswap-stableswap,pancakeswap-token,Dexes,10264428.349365156,Manually,2023-09-09
PancakeSwap AMM,binance-smart-chain:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,Multi-Chain,pancakeswap-amm,pancakeswap-token,Dexes,1030904700.5670108,Manually,2023-09-09
PancakeSwap AMM V3,binance-smart-chain:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,Multi-Chain,pancakeswap-amm-v3,pancakeswap-token,Dexes,298829730.6851512,Manually,2023-09-09
Channels Finance,binance-smart-chain:0xdE9a73272BC2F28189CE3c243e36FaFDA2485212,CAN,Multi-Chain,channels-finance,channels,Lending,1976996.813405896,Automatically,2023-09-09
cBridge,ethereum:0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,CELR,Multi-Chain,cbridge,celer-network,Bridge,86340853.59011784,Automatically,2023-09-09
Cetus,sui:0x6864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS,CETUS,Multi-Chain,cetus,cetus-protocol,Dexes,8204437.016733651,Automatically,2023-09-09
CACHE.Gold,0xf5238462e7235c7b62811567e63dd17d12c2eaa0,CGT,Ethereum,cache.gold,,RWA,1064275.2044825268,Manually,2023-09-09
CherrySwap,okex-chain:0x8179d97eb6488860d816e3ecafe694a4153f216c,CHE,OKExChain,cherryswap,cherryswap,Dexes,1880189.2870471217,Automatically,2023-09-09
Tranchess Ether,ethereum:0xD6123271F980D966B00cA4FCa6C2c021f05e2E73,CHESS,Ethereum,tranchess-ether,tranchess,Liquid Staking,9386791.60168108,Manually,2023-09-09
Tranchess Yield,binance-smart-chain:0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,CHESS,Multi-Chain,tranchess-yield,tranchess,Yield,50657967.91869333,Automatically,2023-09-09
Chainge Finance,fusion-network:0xed0294dbd2a0e52a09c3f38a09f6e03de2c44fcf,CHNG,Fusion,chainge-finance,chainge-finance,Dexes,156879791.9973398,Automatically,2023-09-09
Chronos V1,arbitrum:0x15b2fb8f08E4Ac1Ce019EADAe02eE92AeDF06851,CHR,Arbitrum,chronos-v1,chronos-finance,Dexes,4378528.3492295705,Manually,2023-09-09
ClaimSwap V1,klay-token:0xcf87f94fd8f6b6f0b479771f10df672f99eada63,CLA,Klaytn,claimswap-v1,claimswap,Dexes,1750418.3836221187,Automatically,2023-09-09
Conic Finance,ethereum:0x9ae380f0272e2162340a5bb646c354271c0f5cfc,CNC,Ethereum,conic-finance,conic-finance,Yield,2661718.017512942,Automatically,2023-09-09
Compound V3,ethereum:0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,Multi-Chain,compound-v3,compound-governance-token,Lending,702102113.6413356,Manually,2023-09-09
Compound,ethereum:0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,Ethereum,compound,compound-governance-token,Lending,1156912924.0578878,Manually,2023-09-09
cVault Finance,ethereum:0x62359ed7505efc61ff1d56fef82158ccaffa23d7,CORE,Ethereum,cvault-finance,cvault-finance,Yield,6286439.274784651,Automatically,2023-09-09
Coinwind,heco:0x80861a817106665bca173db6ac2ab628a738c737,COW,Multi-Chain,coinwind,coinwind,Yield,198564421.35211587,Automatically,2023-09-09
Clearpool,ethereum:0x66761fa41377003622aee3c7675fc7b5c1c2fac5,CPOOL,Multi-Chain,clearpool,clearpool,Uncollateralized Lending,5775087.032469644,Automatically,2023-09-09
CRETH2,ethereum:0x2ba592F78dB6436527729929AAf6c908497cB200,CREAM,Ethereum,creth2,cream-eth2,Liquid Staking,39905136.82822502,Automatically,2023-09-09
CREAM Lending,ethereum:0x2ba592F78dB6436527729929AAf6c908497cB200,CREAM,Multi-Chain,cream-lending,cream-2,Lending,6516358.8635024745,Automatically,2023-09-09
CreamSwap,ethereum:0x2ba592f78db6436527729929aaf6c908497cb200,CREAM,Ethereum,creamswap,cream-2,Dexes,4767077.0394214345,Manually,2023-09-09
Defi Swap,ethereum:0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,CRO,Ethereum,defi-swap,crypto-com-chain,Dexes,1849350.866531668,Automatically,2023-09-09
crvUSD,ethereum:0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,Ethereum,crvusd,curve-dao-token,CDP,152503304.82264206,Manually,2023-09-09
Curve DEX,ethereum:0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,Multi-Chain,curve-dex,curve-dao-token,Dexes,2043196145.817697,Manually,2023-09-09
Crystalvale,dfk-chain:0x04b9dA42306B023f3572e106B11D82aAd9D32EBb,CRYSTAL,DFK,crystalvale,defi-kingdoms-crystal,Dexes,3498832.2486832165,Automatically,2023-09-09
Concentrator,ethereum:0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,CTR,Ethereum,concentrator,concentrator,Yield,42274524.4290659,Automatically,2023-09-09
Convex Finance,ethereum:0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,Multi-Chain,convex-finance,convex-finance,Yield,1806496090.299603,Automatically,2023-09-09
Cyclone,ethereum:0x8861cff2366c1128fd699b68304ad99a0764ef9a,CYC,Multi-Chain,cyclone,cyclone-protocol,Yield,1627110.3867791523,Automatically,2023-09-09
Aktionariat,ethereum:0x6f38e0f1a73c96cb3f42598613ea3474f09cb200,DAKS,Multi-Chain,aktionariat,draggable-aktionariat-ag,RWA,25757020.52841834,Automatically,2023-09-09
DeFi Franc,ethereum:0x045da4bFe02B320f4403674B3b7d121737727A36,DCHF,Ethereum,defi-franc,defi-franc,CDP,5043906.742219795,Manually,2023-09-09
Dot Dot Finance,bsc:0x84c97300a190676a19D1E13115629A11f8482Bd1,DDD,Binance,dot-dot-finance,,Yield,3329138.698693891,Manually,2023-09-09
DerivaDEX,ethereum:0x3a880652f47bfaa771908c07dd8673a787daed3a,DDX,Ethereum,derivadex,derivadao,Derivatives,1635614.998015085,Automatically,2023-09-09
DeepLock,bsc:0x60de5f9386b637fe97af1cc05f25548e9baaee19,DEEP,Binance,deeplock,,Launchpad,4031490.176095293,Manually,2023-09-09
Ceres Demeter,sora:0x00f2f4fda40a4bf1fc3769d156fa695532eec31e265d75068524462c0b80f674,DEO,Sora,ceres-demeter,demeter,Yield,1453445.796344017,Automatically,2023-09-09
Depth,heco:0x48c859531254f25e57d1c1a8e030ef0b1c895c27,DEP,Multi-Chain,depth,,Dexes,2824193.6601637453,Manually,2023-09-09
Deri Protocol,binance-smart-chain:0xe60eaf5A997DFAe83739e035b005A33AfdCc6df5,DERI,Multi-Chain,deri-protocol,deri-protocol,Options,2292938.1197756645,Automatically,2023-09-09
dForce,ethereum:0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,DF,Multi-Chain,dforce,dforce-token,Lending,29777821.37352992,Automatically,2023-09-09
DefiDollar DAO,ethereum:0x20c36f062a31865bed8a5b1e512d9a1a20aa333a,DFD,Ethereum,defidollar-dao,defidollar-dao,Algo-Stables,1563041.7763420758,Automatically,2023-09-09
DefiChain DEX,binance-smart-chain:0x361c60b7c2828fcab80988d00d1d542c83387b50,DFI,DefiChain,defichain-dex,defichain,Dexes,101590365.6769247,Automatically,2023-09-09
DefiChain Loans,binance-smart-chain:0x361c60b7c2828fcab80988d00d1d542c83387b50,DFI,DefiChain,defichain-loans,defichain,Synthetics,76637422.72609077,Manually,2023-09-09
DeFis Network,eos:DFS,DFS,EOS,defis-network,defis-network,Dexes,2369223.974069568,Automatically,2023-09-09
DFX Finance,ethereum:0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,Multi-Chain,dfx-finance,dfx-finance,Dexes,1811253.1626610868,Automatically,2023-09-09
Dfyn Network,polygon:0xc168e40227e4ebd8c1cae80f7a55a4f0e6d66c97,DFYN,Multi-Chain,dfyn-network,dfyn-network,Dexes,11233949.729537075,Automatically,2023-09-09
dHEDGE,ethereum:0xca1207647ff814039530d7d35df0e1dd2e91fa84,DHT,Multi-Chain,dhedge,dhedge-dao,Indexes,21227659.48354813,Automatically,2023-09-09
Arkadiko,stacks:SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-token,DIKO,Stacks,arkadiko,arkadiko-protocol,CDP,3844580.157500112,Automatically,2023-09-09
DODO,ethereum:0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,DODO,Multi-Chain,dodo,dodo,Dexes,31456291.67070611,Automatically,2023-09-09
PieDAO,ethereum:0xad32A8e6220741182940c5aBF610bDE99E737b2D,DOUGH,Ethereum,piedao,piedao-dough-v2,Indexes,1182191.8354213685,Automatically,2023-09-09
Dopex,ethereum:0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,DPX,Multi-Chain,dopex,dopex,Options,18798351.39690568,Automatically,2023-09-09
Dual Finance,solana:DUALa4FC2yREwZ59PHeu1un4wis36vHRv5hWVBmzykCJ,DUAL,Solana,dual-finance,dual-finance,Options,6987172.872894133,Automatically,2023-09-09
rhino.fi,ethereum:0xdddddd4301a082e62e84e43f474f044423921918,DVF,Multi-Chain,rhino.fi,rhinofi,Dexes,20033746.32257201,Automatically,2023-09-09
DxSale,ethereum:0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,DX,Multi-Chain,dxsale,dxsale-network,Launchpad,38138653.0998898,Automatically,2023-09-09
dYdX,ethereum:0x92d6c1e31e14520e676a687f0a93788b716beff5,DYDX,Ethereum,dydx,dydx,Derivatives,343179239.6609736,Automatically,2023-09-09
Ease.org,0xEa5eDef1287AfDF9Eb8A46f9773AbFc10820c61c,EASE,Ethereum,ease.org,,Insurance,4751333.559609262,Manually,2023-09-09
BenSwap,smartbch:0x77CB87b57F54667978Eb1B199b28a0db8C8E1c0B,EBEN,Multi-Chain,benswap,green-ben,Dexes,2936379.9138294887,Automatically,2023-09-09
Echidna Finance,avalanche:0xeb8343D5284CaEc921F035207ca94DB6BAaaCBcd,ECD,Avalanche,echidna-finance,echidna,Yield,2517075.55759009,Automatically,2023-09-09
