name,gecko_id,llama_id,new_id
Polis Chain,polis-chain,polis,polis-chain
Polkadot,polkadot,,polkadot
Polygon POS,polygon-pos,polygon,polygon
Polygon zkEVM,polygon-zkevm,polygon_zkevm,polygon-zkevm
Proof of Memes,proof-of-memes,,proof-of-memes
Pulsechain,pulsechain,pulse,pulsechain
Qtum,qtum,,qtum
Radix,,,
Redlight Chain,redlight-chain,,redlight-chain
Rollux,rollux,,rollux
Ronin,ronin,,ronin
Rootstock RSK,rootstock,rsk,rootstock
SX Network,sx-network,,sx-network
Secret,secret,secret,secret
Sei Network,sei-network,,sei-network
Sero,super-zero,,super-zero
ShibChain,ShibChain,,ShibChain
Shibarium,shibarium,,shibarium
Shiden Network,shiden network,shiden,shiden-network
Simple Ledger Protocol (Bitcoin Cash),bitcoin-cash,,bitcoin-cash
Skale,skale,skale,skale
SmartBCH,smartbch,smartbch,smartbch
Solana,solana,solana,solana
Songbird,songbird,songbird,songbird
Sora,sora,sora,sora
Stacks,stacks,stacks,stacks
Stellar,stellar,stellar,stellar
Step Network,step-network,,step-network
Stratis,stratis,,stratis
Sui,sui,sui,sui
Syscoin NEVM,syscoin,syscoin,syscoin
TRON,tron,,tron
Telos,telos,telos,telos
Tenet,tenet,tenet,tenet
Terra,terra-2,terra,terra
Terra Classic,terra,,terra
Tezos,tezos,tezos,tezos
The Open Network,the-open-network,,the-open-network
Theta,theta,theta,theta
Thorchain,thorchain,thorchain,thorchain
ThunderCore,thundercore,thundercore,thundercore
Tombchain,tombchain,tombchain,tombchain
TomoChain,tomochain,tomochain,tomochain
Trustless Computer,trustless-computer,,trustless-computer
Ultron,ultron,ultron,ultron
VeChain,vechain,vechain,vechain
Velas,velas,velas,velas
Vite,vite,vite,vite
Wanchain,wanchain,wan,wanchain
Waves,waves,waves,waves
Wemix Network,wemix-network,wemix,wemix-network
XDC Network,xdc-network,xdc,xdc-network
XRP Ledger,xrp,,xrp
Yocoin,yocoin,,yocoin
Zilliqa,zilliqa,,zilliqa
opBNB,opbnb,,opbnb
zkSync,zksync,era,zksync
